,순,시즌,FA,출생,이름,팀,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
82,23,1984,0,1961,조도연,84해_#DB0000,, 3 , 0 , 12 , 4 , 6 , 2 , 0 , 129.1 , 61 ,, 547 , 122 , 11 , 44 , 1 , 3 , 63 , 0 , 9 , 3.34 , 3.34 , 1.28 , 98.7 , 98.7 , 1.88 ,,,
83,24,1984,0,1957,강만식,84해_#DB0000,, 3 , 0 , 19 , 11 , 4 , 0 , 0 , 129.2 , 58 ,, 540 , 124 , 14 , 36 , 2 , 7 , 60 , 0 , 1 , 3.26 , 3.57 , 1.23 , 101.0 , 92.4 , 1.77 ,,,
84,25,1984,0,1960,김진욱,84O_#000042,, 5 , 1 , 19 , 6 , 11 , 2 , 0 , 118.0 , 53 ,, 508 , 107 , 5 , 58 , 4 , 10 , 43 , 1 , 3 , 3.05 , 3.59 , 1.40 , 110.1 , 93.5 , 1.68 ,,,
85,26,1984,0,1961,안창완,롯데,, 0 , 0 , 7 , 3 , 3 , 0 , 0 , 70.0 , 20 ,, 297 , 72 , 6 , 28 , 0 , 3 , 39 , 1 , 2 , 1.67 , 3.47 , 1.43 , 194.7 , 93.8 , 1.61 ,,,
86,27,1984,0,1958,황기선,84해_#DB0000,, 2 , 0 , 6 , 4 , 7 , 1 , 0 , 124.1 , 70 ,, 536 , 110 , 10 , 55 , 5 , 9 , 65 , 0 , 5 , 3.76 , 3.57 , 1.33 , 87.6 , 92.5 , 1.17 ,,,
87,28,1984,0,1952,황태환,84O_#000042,, 0 , 0 , 3 , 0 , 2 , 0 , 0 , 40.0 , 12 ,, 159 , 36 , 3 , 15 , 0 , 2 , 19 , 0 , 0 , 2.48 , 3.44 , 1.28 , 135.7 , 97.6 , 0.92 ,,,
88,29,1984,0,1960,방수원,84해_#DB0000,, 1 , 1 , 14 , 1 , 8 , 0 , 0 , 66.0 , 39 ,, 280 , 64 , 2 , 20 , 0 , 6 , 30 , 0 , 0 , 3.82 , 2.81 , 1.27 , 86.3 , 117.4 , 0.75 ,,,
89,30,1984,0,1954,이광권,84M_#1245AB,, 1 , 0 , 7 , 1 , 3 , 0 , 0 , 50.1 , 19 ,, 212 , 53 , 2 , 22 , 0 , 2 , 14 , 0 , 0 , 2.68 , 3.53 , 1.49 , 115.2 , 87.5 , 0.73 ,,,
90,1,1985,0,1958,김시진,삼성,, 10 , 2 , 29 , 25 , 5 , 10 , 0 , 269.2 , 63 ,, 1064 , 172 , 8 , 121 , 3 , 15 , 201 , 1 , 10 , 2.00 , 2.59 , 1.09 , 177.3 , 137.0 , 10.52 ,,,
91,2,1985,0,1958,최동원,롯데,, 14 , 4 , 17 , 20 , 9 , 8 , 0 , 225.0 , 60 ,, 865 , 170 , 7 , 41 , 2 , 8 , 161 , 1 , 3 , 1.92 , 1.82 , 0.94 , 177.6 , 187.7 , 9.88 ,,,
92,3,1985,0,1963,선동열,85해_#DB0000,, 1 , 0 , 3 , 7 , 4 , 8 , 0 , 111.0 , 30 ,, 424 , 74 , 2 , 20 , 4 , 3 , 103 , 0 , 3 , 1.70 , 1.11 , 0.85 , 205.0 , 314.9 , 6.40 ,,,
93,4,1985,0,1951,김일융,삼성,, 11 , 3 , 28 , 25 , 6 , 0 , 0 , 226.0 , 87 ,, 920 , 200 , 13 , 77 , 6 , 5 , 107 , 0 , 4 , 2.79 , 3.03 , 1.23 , 127.4 , 117.3 , 5.43 ,,,
94,5,1985,0,1953,계형철,85O_#000042,, 8 , 0 , 26 , 11 , 11 , 2 , 0 , 194.0 , 71 ,, 789 , 165 , 17 , 63 , 0 , 7 , 84 , 0 , 6 , 2.78 , 3.57 , 1.18 , 128.1 , 99.8 , 4.09 ,,,
95,6,1985,0,1961,정삼흠,85M_#1245AB,, 7 , 3 , 16 , 9 , 12 , 5 , 0 , 192.2 , 72 ,, 801 , 169 , 13 , 72 , 2 , 12 , 99 , 0 , 5 , 3.13 , 3.34 , 1.25 , 106.7 , 99.9 , 3.96 ,,,
